video_id,trending_date,title,channel_title,tags,views,likes,dislikes,comment_count,countries_trending_in,publish-day,publish-time
QFfEtKvXMAs,11-16-2017,Niall Horan - Too Much To Ask (Acoustic),NiallHoranVEVO,"['Niall Horan', 'Niall', 'Horan', 'Too Much To Ask', 'Too Much Too Ask', 'To Much To Ask', 'To Much Too Ask', 'TMTA', 'Too Much To Ask Acoustic', 'Too Much Too Ask Acoustic', 'To Much To Ask Acoustic', 'To Much Too Ask Acoustic', 'TMTA Acoustic', 'Acoustic', 'Acoustic Video']",505794,55628,192,3033,"['US', 'GB']",2017-11-10,17:00:05
UuCq8mtK8J4,11-17-2017,"DJ Snake, Lauv - A Different Way",DJSnakeVEVO,"['DJ Snake', 'Lauv', 'A Different Way', 'Arc De Triomphe', 'Paris', 'DJ', 'Snake', 'Different', 'Way', 'Geffen', 'Dance']",673010,58902,786,2901,"['US', 'FR']",2017-11-16,05:00:01
4SANXNco_y4,11-17-2017,Dashboard Confessional: We Fight (Official Audio),Fueled By Ramen,"['Dashboard Confessional', 'Dashboard', 'Chris Carrabba', 'Chris Caraba', 'Chris Carraba', 'Dashboard Music', 'Dashbaord Band', 'New Dashboard Confessional Song', 'New Song', 'new single', 'We Fight', 'Crooked Shadows', 'We Fight Song', 'We fight our way in', 'we fight our way out', 'Fueled By Ramen', 'FBR', 'DC', 'New FBR signing', 'fueled by', 'dashboard signs with FBR', 'New Dashboard Record', 'New Dashboard Confessional', 'New Dashboard Album', 'New Dashboard Confessional Album', 'New dashboard track', 'emo', 'alternative', 'rock']",82048,3539,144,347,"['US', 'GB']",2017-11-15,17:05:36
svZScJMh4Pg,11-17-2017,Dua Lipa - Golden Slumbers,Dua Lipa,"['dua lipa', 'golden slumbers', 'xmas songs', 'christmas music', 'john lewis advert', 'christmas', 'festive']",276231,30255,412,2293,['US'],2017-11-16,17:02:13
ENr6CXm1YxU,11-17-2017,Rachel Platten - Whole Heart (Audio),RachelPlattenVEVO,"['Columbia', 'Pop', 'Rachel Platten', 'Whole Heart']",54697,1693,65,79,"['US', 'GB']",2017-11-15,08:00:01
LduRwIc7eBA,11-17-2017,Kesha - Learn To Let Go in the Live Lounge,BBCRadio1VEVO,"['Kesha', 'Learn To Let Go', 'BBC', 'Radio 1', 'Live Lounge']",28169,1623,19,113,['US'],2017-11-15,18:59:30
5E4ZBSInqUU,11-17-2017,Marshmello - Blocks (Official Music Video),marshmello,"['marshmello', 'blocks', 'marshmello blocks', 'blocks music video', 'marshmello music video', 'roblox bully story', 'marshmello alone', 'roblox', 'cuphead', 'marshmello nightcore', 'marshmello musically', 'music for kids', 'happy music', 'videos that make you happy', 'sad songs', 'childrens music', 'joytime', 'marshmello joytime', 'frat bro', 'band', 'high school', 'crush', 'mellogang', 'marshmallow', 'noviembre 2017', 'musik elektronik', 'billboard', 'november 2017', 'musica electronica 2017', 'edm 2017', 'best music 2017', 'top 40 2017', 'lego']",3228511,204840,3983,12937,"['US', 'GB']",2017-11-13,17:00:00
zZ9FciUx6gs,11-17-2017,Nickelback - The Betrayal Act III [Official Video],Nickelback,"['Nickelback', 'Feed The Machine', 'The Betrayal Act III', 'The Betrayal', 'Rock', 'Alternative', 'Anthem Films', 'Kevin Slack', 'Chad Kroeger', 'Ryan Peake', 'Mike Kroeger', 'Daniel Adair', 'How You Remind Me', 'Rockstar']",340068,14253,719,1174,['US'],2017-11-13,15:31:44
PaJCFHXcWmM,11-17-2017,U2 - The Blackout,U2VEVO,"['U2', 'The', 'Blackout', 'Island', 'Records', 'Rock']",310812,10079,398,5112,['US'],2017-11-13,17:00:04
MKLlDnUqho4,11-17-2017,Dead Beat Sirah ft. Skrillex (official video),SIRAH,"['Sirah', 'Skrillex', 'Music', 'hip hop', 'female rapper', 'Demi Lovato', 'Owsla', 'Deadbeat', 'Dead Beat']",34262,2023,71,299,"['US', 'GB']",2017-11-14,16:30:00
e_7zHm7GsYc,11-17-2017,Hunter Hayes - You Should Be Loved (Part One Of Pictures),Hunter Hayes,"['Hunter', 'Hayes', 'you should be loved', 'the shadowboxers', 'pictures', 'part one', 'official', 'music video', 'trilogy', 'hunter hayes', 'wanted', 'i want crazy', 'storm warning']",96267,3194,105,129,['US'],2017-11-13,15:01:18
SFdO-19Xdho,11-17-2017,Clean Bandit - I Miss You feat. Julia Michaels in the Radio 1 Live Lounge,BBC Radio 1,"['clean bandit', 'i miss you', 'live lounge', 'julie michaels', 'bbc']",48864,1941,22,86,['US'],2017-11-14,16:23:31
